大细辛 　　马蹄细辛 苕叶细辛
白虎丸 　　白虎丹
臭冷杉 　　  华北冷杉 臭松 东陵冷杉
凤尾草 　　鸡脚草 井栏边草
牛角瓜 　　哮喘树 羊浸树 断肠草
体气散 　　 体气散
焮麻 　　 钱麻 红活麻 蝎麻 大荨麻
黑龙丝 　　 白马分鬃 猪鬃草 铁线蕨 骨螃他 龙兰草 龙鳞
九牛力 　　为川太 土萆薢
乌口树 　　子栋树 乌木 乌贯木 乌墨 黑墨树
单面针 　　蚬壳花椒 山枇杷 白三百棒 九百锤 大叶花椒 山椒根 黄椒根 钻山虎 单面虎
中华水龙骨 　　鸡爪七 假友水龙骨
玉女长春不老丹 　　水芝丸
八圣丹 　　八圣种子丹
小温经汤 　　 温经汤
风车藤 　　 散生女贞
草龙 　　 细叶水丁香 线叶丁香蓼
甜瓜子 　　 香瓜子
大母猪藤 　　大叶乌蔹莓 木质藤本
土常山 　　大叶土常山 大叶老鼠竹 硬毛绣球 癞疠树 白常山 白花常山 鸡跨裤
荆芥 　　 香荆荠 线荠 四棱杆蒿 假苏
生姜 　　有姜根 百辣云 勾装指 因地辛 炎凉小子 鲜生姜 蜜炙姜
辣根 　　 马萝卜
中华蹄盖蕨 　　  狭叶蹄盖蕨
苍附导痰丸 　　 橘皮 贵老 红皮 黄橘皮 广橘皮 新会皮 柑皮 广陈皮
野海椒 　　 冬珊瑚 红珊瑚 四季果 看果 吉庆果 珊瑚子 玉珊瑚 野辣茄 野海椒 
毛冬青 　　乌尾丁 痈树 六月霜 细叶冬青 细叶青 苦田螺 老鼠啃 山冬青 毛披树 茶叶冬青 水火药 喉毒药 米碎丹 高山冬青 猫秋子草 毛雌子 美仔蕉 毛莱 六青 矮梯 耐糊梯 火烙木 山熊胆 毒药 酸味木
乌梅饮子 　　 乌梅饮子
乌须固齿擦牙散 　　 乌须固齿擦牙散
马雹儿 　　老鼠担冬瓜 野苦瓜 扣子草 玉钮子
青活麻 　　活麻 荨麻 火麻 老虎麻
龙骨 　　 陆虎遗生 那伽骨 生龙骨 煅龙骨 五花龙骨 青化龙骨 花龙骨 白龙骨
片脑膏 　　 龙胆膏
糙苏 　　 大叶糙苏 山苏子 续断 山芝麻 山苏子
松香 　　松膏 松肪 松胶
酸枣仁 　　枣仁 酸枣核 山枣仁 酸枣 酸枣核 酸枣子 棘仁 棘实 棘刺实 樲仁 樲枣仁 樲枣实 野枣仁 山酸枣仁 调睡参军 刺酸枣
高山龙胆 　　 白花龙胆 无茎龙胆 麻龙胆
芒萁骨 　　芒萁骨 芒萁 小里白
黑芝 　　玄芝 黑云芝 假灵芝
豪猪肉 　　 豪猪
紫藤 　　藤萝 朱藤 黄环
胡萝卜叶 　　胡萝卜英 胡萝卜缨子
秦艽 　　 大叶龙胆 大叶秦艽 西秦艽
梧桐子 　　青桐 桐麻
赤楠根 　　耳蒙根
落葵 　　 蔠葵 蘩露 藤菜 臙脂豆 木耳菜 潺菜 豆腐菜 紫葵 胭脂菜 蓠芭菜
软皮树 　　白瑞香
藏青果 　　西青果
油头草 　　 山羊梅 大鱼眼草
九节风 　　 接骨金粟兰 九节茶 九节花 九节风 竹节茶 接骨莲 观音茶 接骨木 九节风 驳节茶 鸭脚节 山牛膝 珍珠兰 九节草 野靛 学士茶 接骨丹 接骨草 铜脚灵仙 九节兰 节骨茶 接骨莲 竹茶
望江南子 　　凤凰草 羊角豆 山绿豆 假决明 狗屎豆 假槐花
铜钱细辛 　　 胡椒七 铜钱乌金 毛细辛
金莲花 　　 旱荷 旱莲花寒荷 陆地莲 旱地莲 金梅草 金疙瘩
毛八角枫 　　 长毛八角枫
喜树 　　旱莲 水栗 水桐树 天梓树 旱莲子 千丈树 野芭蕉 水漠子
干姜粥 　　 白姜 均姜
碧桃干 　　瘪桃干 桃奴 阴桃子
黑血藤 　　为老鸦花藤
小黄膏 　　 小黄膏
大效神功救生丹 　　 大效神功救生丹
小胡连丸 　　 胡连丸
大黄拓洗方 　　 大黄拓洗方
鱵鱼 　　 箴鱼 铜吮鱼  姜公鱼 针工鱼 针鱼 单针鱼 针扎鱼
十大将军冲翳散 　　 先锋开路散
猫儿黄金菊 　　 黄金菊 高梁菊
蜻蜒兰 　　竹叶兰
辫子草根 　　爬地香
南瓜藤 　　番瓜藤 盘肠草 南瓜苗
小胡椒丸 　　 小胡椒丸
翻白草 　　鸡脚爪 千锤打 天青地白
白扁豆 　　藊豆 白藊豆 南扁豆
钩藤 　　钩丁 吊藤 鹰爪风 倒挂剌
沙枣树皮 　　有银柳 香柳 桂香柳 七里香
薄柱草 　　 水泽兰 冷水草
苦芥 　　 青菜 苦菜 紫苦菜
一醉乌 　　 一醉乌
三羽叉蕨 　　 鸡爪蕨 大叶入地蜈蚣 昏头鸡
土金双培汤 　　 土金双培汤
敦盛草 　　 敦朴江区
水茴香 　　 田根草
抵当汤 　　 陆渊雷
冬瓜瓤 　　冬瓜练
蚯疽草 　　 白头菜 夜明草 肉桂草 泥鳅菜
灵脂酒 　　霹雳酒 五灵脂散 抽刀散灵脂酒
麒麟菜 　　 鸡脚菜 鸡胶菜
麒麟菜 　　 鸡脚菜  纲目   鹿角菜  琉球国志略   鸡胶菜  罗源县志
乌梅八珍汤 　　 乌梅八珍汤
白粉蝶 　　菜白蝶 菜青虫
黄秦艽 　　 滇黄芩 丽江金不换 大苦参 黄龙胆
昆布 　　昆布
大鳖甲丸 　　 大鳖甲丸
分水散 　　 分水神丹
草乌头 　　 堇 芨 乌头 乌喙 奚毒 即子 鸡毒 毒公 耿子 土附子 草乌 竹节乌头 金鸦 五毒根 耗子头
刺果卫矛 　　 巴谷树 扣子花 藤杜仲 小千金 硬筋藤 钻岩筋 长梗刺果卫矛 棘果卫矛 腾冲卫矛
白升麻 　　 白升麻 一把伞 筛子花 岩谷伞 回心草
君迁子 　　 软枣 黑枣 牛奶柿
金丝李 　　 埋贵 米友波 哥非力郎
大黄汤 　　 五利汤
丑午丹 　　 丑午丹
